0	0	100	0	100
20	0	100	0	100
40	0	100	0	100
60	0	100	0	100
80	0	100	0	100
100	0	100	0	100
120	0	100	0	100
140	0	100	0	100
160	0	100	0	100
180	0	100	0	100
200	0	100	0	100
220	0	99	0	99
240	0	99	0	99
260	0	99	0	99
280	0	99	0	99
300	0	98	0	98
320	0	97	0	97
340	0	96	0	96
360	0	96	0	96
380	0	96	0	96
400	0	96	0	96
420	0	84	11	95
440	0	69	25	94
460	0	61	32	93
480	0	54	37	91
500	0	42	49	91
520	0	36	55	91
540	0	25	64	89
560	0	16	73	89
580	0	8	81	89
600	0	0	88	88
620	0	0	88	88
640	0	0	87	87
660	0	0	87	87
680	0	0	86	86
700	9	0	85	85
720	195	0	84	84
740	301	42	84	126
760	286	185	84	269
780	146	331	84	415
800	33	444	83	527
820	0	477	83	560
840	0	477	83	560
860	0	477	81	558
880	0	477	81	558
900	0	477	79	556
920	0	477	79	556
940	0	477	79	556
960	0	477	78	555
980	0	476	78	554
1000	0	474	5	479
1020	0	471	5	476
1040	0	470	5	475
1060	0	464	5	469
1080	0	461	5	466
1100	0	458	5	463
1120	0	457	5	462
1140	0	450	7	457
1160	0	441	16	457
1180	0	415	37	452
1200	0	373	76	449
1220	0	335	109	444
1240	0	295	144	439
1260	0	257	180	437
1280	0	211	223	434
1300	0	161	272	433
1320	0	112	318	430
1340	0	72	357	429
1360	0	35	391	426
1380	0	7	215	222
1400	0	2	219	221
1420	0	0	220	220
1440	209	0	219	219
1460	1077	16	219	235
1480	1663	299	218	517
1500	1216	1088	215	1303
1520	402	1902	215	2117
1540	17	2287	214	2501
1560	0	2304	213	2517
1580	0	2304	210	2514
1600	0	2304	210	2514
1620	0	2304	210	2514
1640	0	2304	209	2513
1660	0	2304	206	2510
1680	0	2302	205	2507
1700	0	2296	202	2498
1720	0	2284	201	2485
1740	0	2271	128	2399
1760	0	2254	128	2382
1780	0	2240	127	2367
1800	124	2225	126	2351
1820	581	2213	126	2339
1840	950	2371	124	2495
1860	866	2761	124	2885
1880	348	3240	144	3384
1900	41	3477	205	3682
1920	0	3363	341	3704
1940	0	3151	539	3690
1960	0	2911	760	3671
1980	0	2700	958	3658
2000	0	2499	1149	3648
2020	0	2290	1344	3634
2040	0	2071	1542	3613
2060	0	1857	1736	3593
2080	0	1660	1905	3565
2100	0	1488	1820	3308
2120	0	1426	1865	3291
2140	0	1403	1855	3258
2160	459	1398	1835	3233
2180	33029	1384	1823	3207
2200	63251	7782	1813	9595
2220	66255	19307	1803	21110
2240	33108	18206	1786	19992
2260	6649	18194	1805	19999
2280	0	17419	1855	19274
2300	0	16486	1965	18451
2320	0	15922	2078	18000
2340	0	15430	2183	17613
2360	0	14963	2280	17243
2380	0	14488	2396	16884
2400	0	14009	2505	16514
2420	0	13553	2611	16164
2440	0	13097	2721	15818
2460	0	12685	2811	15496
2480	0	12360	2738	15098
2500	0	12070	2745	14815
2520	0	11827	2731	14558
2540	53895	11556	2713	14269
2560	113775	17502	2682	20184
2580	137666	18930	2657	21587
2600	88875	17176	2778	19954
2620	23611	16545	3758	20303
2640	112	15022	4725	19747
2660	0	11536	5686	17222
2680	0	10019	6560	16579
2700	0	8706	7392	16098
2720	0	7379	8225	15604
2740	0	6123	9037	15160
2760	0	4955	9837	14792
2780	0	3803	10583	14386
2800	0	2928	11079	14007
2820	0	2692	10926	13618
2840	0	2520	10641	13161
2860	0	2385	10451	12836
2880	0	2228	10269	12497
2900	141962	2081	10071	12152
